"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","81","86","6","43.563675","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","82","88","3","34.349190","0","0"
"Globals","0","2715","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","36","38","1","18.721291","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","879","904","1","310.879089","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","148","148","1","86.143364","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","20","20","1","3.928284","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","10","1","2.030293","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","51","1","28.587862","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","10","10","1","5.625601","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","15","15","1","8.487137","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","1.861592","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","10","10","1","4.344066","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","573","623","1","148.189926","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","27","27","1","14.026831","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","10","10","1","4.538995","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","128","128","1","72.468307","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","6","1","6.277150","0","0"
"/OculusVR/Materials/OculusMR_WhiteMaterial.OculusMR_WhiteMaterial","0","10","10","1","4.452665","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","10","10","1","6.468124","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey_Lit.OculusMR_ChromaKey_Lit","0","31","31","1","61.446575","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","4","4","1","2.123038","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","2.169155","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","12","12","1","6.631525","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","12","12","1","6.858917","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","29","29","1","16.790089","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","10","1","4.423217","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","19","20","1","9.871216","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","10","1","3.479277","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","20","20","1","3.319683","0","0"
